Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Region I ,Hairtail ,188.0,216.0,235.0,209.92,290.84,448.06,385.09000000000003,301.98,163.82999999999998,186.2,96.75,126.09,149.79000000000002,149.71,175.75,139.09,135.81,130.51,131.84,142.57999999999998,70.23,88.98,44.19
Region I ,Indian mackerel ,253.0,248.0,248.0,296.85,279.17999999999995,375.63,390.86,244.01,231.24,239.3,138.75,197.5,226.56,200.86999999999998,202.31,227.61,127.93,131.36,137.79,131.35,38.580000000000005,25.89,19.299999999999997
Region I ,Bali sardinella ,48.0,,4.0,59.31,38.980000000000004,87.16,93.81,54.0,32.69,16.96,28.14,22.02,16.770000000000003,17.880000000000003,20.533333333333335,17.64,27.61,25.220000000000002,17.509999999999998,8.11,7.58,,
Region I ,Indo-pacific mackerel ,122.0,126.0,135.0,134.83999999999997,209.23999999999998,225.81,206.44,133.04999999999998,72.58,82.28999999999999,75.24000000000001,132.82999999999998,117.68,102.35000000000001,116.93,119.71000000000001,126.07,123.82,130.6,128.14,35.769999999999996,20.25,14.780000000000001
Region I ,Mullet ,,,8.0,48.54666666666667,49.62,89.58,119.96,64.15,17.650000000000002,10.8,14.530000000000001,15.989999999999998,26.150000000000002,23.2,21.2,19.36,22.58,24.35,24.89,25.79,18.32,12.49,7.94
Region I ,Parrot fish ,,,,,,,,41.16,59.08,6.74,2.88,1.08,1.12,10.4,,,,,,,4.82,9.34,
Region I ,Porgies ,,,8.0,37.333333333333336,30.0,67.75,91.44,76.34,2.32,2.36,2.92,1.72,1.48,9.840000000000002,,,,,,,0.56,2.52,
Region I ,Round herring ,5.333333333333333,5.333333333333333,,34.70666666666667,41.54,98.00999999999999,93.24000000000001,63.82666666666666,11.04,8.026666666666666,9.69,13.91,7.87,9.45,10.84,8.6,8.64,8.52,,4.44,5.92,,
Region I ,Roundscad ,490.0,711.0,564.62,496.57,680.0799999999999,826.36,742.88,515.49,525.55,601.38,428.46,508.18000000000006,488.97,613.53,960.77,1075.01,334.05,1346.55,1186.03,879.34,1312.6000000000001,929.8599999999999,1143.76
Region I ,Siganid ,,,11.0,40.21,52.76,88.53999999999999,99.83,40.83,6.9799999999999995,8.93,11.030000000000001,19.599999999999998,22.689999999999998,23.42,21.54,20.22,22.6,28.4,26.930000000000003,24.119999999999997,12.8,8.58,7.76
